'',GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022300012,25,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,54,256,1,1,20231110,MEM,UTA
1,Shot Chart Detail,0022300012,265,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,3,23,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,62,51,1,1,20231110,MEM,UTA
2,Shot Chart Detail,0022300012,290,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,53,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,6,1,1,20231110,MEM,UTA
3,Shot Chart Detail,0022300012,298,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,190,174,1,1,20231110,MEM,UTA
4,Shot Chart Detail,0022300012,376,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,6,26,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,60,269,1,1,20231110,MEM,UTA
5,Shot Chart Detail,0022300012,503,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,11,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,11,1,1,20231110,MEM,UTA
6,Shot Chart Detail,0022300012,553,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,8,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,165,1,1,20231110,MEM,UTA
7,Shot Chart Detail,0022300012,571,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,6,59,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,46,1,1,20231110,MEM,UTA
8,Shot Chart Detail,0022300023,180,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,12,1,1,20231114,UTA,POR
9,Shot Chart Detail,0022300023,276,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,4,24,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,43,1,1,20231114,UTA,POR
10,Shot Chart Detail,0022300023,293,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,3,19,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,29,68,1,1,20231114,UTA,POR
11,Shot Chart Detail,0022300023,341,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,11,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,21,1,1,20231114,UTA,POR
12,Shot Chart Detail,0022300023,469,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,0,1,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,49,38,1,1,20231114,UTA,POR
13,Shot Chart Detail,0022300023,529,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,8,27,Made Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,49,45,1,1,20231114,UTA,POR
14,Shot Chart Detail,0022300023,540,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,7,40,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231114,UTA,POR
15,Shot Chart Detail,0022300023,543,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,7,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-137,227,1,1,20231114,UTA,POR
16,Shot Chart Detail,0022300035,172,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,58,172,1,1,20231117,UTA,PHX
17,Shot Chart Detail,0022300035,324,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,27,1,1,20231117,UTA,PHX
18,Shot Chart Detail,0022300035,377,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,37,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,19,1,1,20231117,UTA,PHX
19,Shot Chart Detail,0022300035,387,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,214,141,1,1,20231117,UTA,PHX
20,Shot Chart Detail,0022300035,628,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,2,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,-7,1,1,20231117,UTA,PHX
21,Shot Chart Detail,0022300042,19,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,1,20231121,LAL,UTA
22,Shot Chart Detail,0022300042,211,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,8,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,225,120,1,1,20231121,LAL,UTA
23,Shot Chart Detail,0022300042,314,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,12,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231121,LAL,UTA
24,Shot Chart Detail,0022300042,361,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,88,235,1,1,20231121,LAL,UTA
25,Shot Chart Detail,0022300072,96,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,5,2,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,31,1,1,20231025,UTA,SAC
26,Shot Chart Detail,0022300072,259,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,6,17,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-27,44,1,1,20231025,UTA,SAC
27,Shot Chart Detail,0022300072,266,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,5,28,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,28,1,1,20231025,UTA,SAC
28,Shot Chart Detail,0022300072,353,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,11,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,30,1,1,20231025,UTA,SAC
29,Shot Chart Detail,0022300072,462,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,4,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,37,1,1,20231025,UTA,SAC
30,Shot Chart Detail,0022300072,600,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,8,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,225,1,1,20231025,UTA,SAC
31,Shot Chart Detail,0022300085,16,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,49,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,13,1,1,20231027,UTA,LAC
32,Shot Chart Detail,0022300085,49,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,7,36,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,19,1,1,20231027,UTA,LAC
33,Shot Chart Detail,0022300085,56,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-165,176,1,1,20231027,UTA,LAC
34,Shot Chart Detail,0022300085,141,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,1,18,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,23,69,1,1,20231027,UTA,LAC
35,Shot Chart Detail,0022300085,170,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,9,1,1,20231027,UTA,LAC
36,Shot Chart Detail,0022300085,181,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,9,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-93,242,1,1,20231027,UTA,LAC
37,Shot Chart Detail,0022300085,348,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,18,1,1,20231027,UTA,LAC
38,Shot Chart Detail,0022300085,457,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,2,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,6,1,1,20231027,UTA,LAC
39,Shot Chart Detail,0022300085,465,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,1,42,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,33,1,1,20231027,UTA,LAC
40,Shot Chart Detail,0022300085,473,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,1,16,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231027,UTA,LAC
41,Shot Chart Detail,0022300085,518,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-121,241,1,1,20231027,UTA,LAC
42,Shot Chart Detail,0022300085,650,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,0,46,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231027,UTA,LAC
43,Shot Chart Detail,0022300094,36,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-221,141,1,1,20231028,PHX,UTA
44,Shot Chart Detail,0022300094,145,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-17,274,1,1,20231028,PHX,UTA
45,Shot Chart Detail,0022300094,149,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,10,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,66,294,1,1,20231028,PHX,UTA
46,Shot Chart Detail,0022300094,166,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-235,58,1,1,20231028,PHX,UTA
47,Shot Chart Detail,0022300094,390,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,64,243,1,1,20231028,PHX,UTA
48,Shot Chart Detail,0022300094,396,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,3,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,4,1,1,20231028,PHX,UTA
49,Shot Chart Detail,0022300094,559,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,5,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,1,20231028,PHX,UTA
50,Shot Chart Detail,0022300110,47,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,7,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-135,226,1,1,20231030,DEN,UTA
51,Shot Chart Detail,0022300110,61,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,6,25,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231030,DEN,UTA
52,Shot Chart Detail,0022300110,215,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,7,35,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,229,86,1,1,20231030,DEN,UTA
53,Shot Chart Detail,0022300110,408,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,7,19,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20231030,DEN,UTA
54,Shot Chart Detail,0022300110,417,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,6,56,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-224,80,1,1,20231030,DEN,UTA
55,Shot Chart Detail,0022300110,433,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,5,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,9,1,1,20231030,DEN,UTA
56,Shot Chart Detail,0022300110,450,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,3,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,3,1,1,20231030,DEN,UTA
57,Shot Chart Detail,0022300110,514,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,0,8,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20231030,DEN,UTA
58,Shot Chart Detail,0022300110,530,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,43,247,1,1,20231030,DEN,UTA
59,Shot Chart Detail,0022300110,628,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,1,46,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,1,20231030,DEN,UTA
60,Shot Chart Detail,0022300125,9,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,11,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-192,162,1,1,20231101,UTA,MEM
61,Shot Chart Detail,0022300125,140,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,224,171,1,1,20231101,UTA,MEM
62,Shot Chart Detail,0022300125,149,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-103,240,1,1,20231101,UTA,MEM
63,Shot Chart Detail,0022300125,208,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,8,42,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,42,53,1,1,20231101,UTA,MEM
64,Shot Chart Detail,0022300125,234,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,6,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,190,231,1,1,20231101,UTA,MEM
65,Shot Chart Detail,0022300125,587,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,8,49,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,69,1,1,20231101,UTA,MEM
66,Shot Chart Detail,0022300130,36,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-186,185,1,1,20231102,UTA,ORL
67,Shot Chart Detail,0022300130,192,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,33,1,1,20231102,UTA,ORL
68,Shot Chart Detail,0022300130,227,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,10,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-61,73,1,1,20231102,UTA,ORL
69,Shot Chart Detail,0022300130,241,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,9,46,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,43,107,1,1,20231102,UTA,ORL
70,Shot Chart Detail,0022300130,440,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,24,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,1,20231102,UTA,ORL
71,Shot Chart Detail,0022300130,522,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,2,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-67,241,1,1,20231102,UTA,ORL
72,Shot Chart Detail,0022300130,542,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,1,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,15,1,1,20231102,UTA,ORL
73,Shot Chart Detail,0022300130,726,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,1,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-69,234,1,1,20231102,UTA,ORL
74,Shot Chart Detail,0022300130,735,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,0,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,62,257,1,1,20231102,UTA,ORL
75,Shot Chart Detail,0022300138,32,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,58,61,1,1,20231104,MIN,UTA
76,Shot Chart Detail,0022300138,115,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,3,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,167,214,1,1,20231104,MIN,UTA
77,Shot Chart Detail,0022300138,123,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,2,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-2,256,1,1,20231104,MIN,UTA
78,Shot Chart Detail,0022300138,146,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,1,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-11,247,1,1,20231104,MIN,UTA
79,Shot Chart Detail,0022300138,347,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,11,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,23,248,1,1,20231104,MIN,UTA
80,Shot Chart Detail,0022300138,365,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,50,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-58,59,1,1,20231104,MIN,UTA
81,Shot Chart Detail,0022300138,473,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,2,15,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231104,MIN,UTA
82,Shot Chart Detail,0022300152,37,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,113,221,1,1,20231106,CHI,UTA
83,Shot Chart Detail,0022300152,77,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,4,59,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20231106,CHI,UTA
84,Shot Chart Detail,0022300152,214,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,8,0,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,118,34,1,1,20231106,CHI,UTA
85,Shot Chart Detail,0022300152,239,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,6,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,49,240,1,1,20231106,CHI,UTA
86,Shot Chart Detail,0022300152,350,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-208,144,1,1,20231106,CHI,UTA
87,Shot Chart Detail,0022300152,368,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-92,246,1,1,20231106,CHI,UTA
88,Shot Chart Detail,0022300152,510,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-3,1,1,20231106,CHI,UTA
89,Shot Chart Detail,0022300152,536,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,8,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,223,1,1,20231106,CHI,UTA
90,Shot Chart Detail,0022300158,32,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,6,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,20,1,1,20231108,IND,UTA
91,Shot Chart Detail,0022300158,42,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,50,1,1,20231108,IND,UTA
92,Shot Chart Detail,0022300158,122,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,2,39,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231108,IND,UTA
93,Shot Chart Detail,0022300158,290,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,2,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20231108,IND,UTA
94,Shot Chart Detail,0022300158,335,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231108,IND,UTA
95,Shot Chart Detail,0022300158,367,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,169,1,1,20231108,IND,UTA
96,Shot Chart Detail,0022300158,637,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,3,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,4,1,1,20231108,IND,UTA
97,Shot Chart Detail,0022300158,664,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,1,32,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,4,1,1,20231108,IND,UTA
98,Shot Chart Detail,0022300214,9,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,11,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-102,7,1,1,20231119,UTA,PHX
99,Shot Chart Detail,0022300214,29,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,42,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-20,57,1,1,20231119,UTA,PHX
100,Shot Chart Detail,0022300214,114,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,3,26,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231119,UTA,PHX
101,Shot Chart Detail,0022300214,175,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,48,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,39,1,1,20231119,UTA,PHX
102,Shot Chart Detail,0022300214,190,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,10,14,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,42,1,1,20231119,UTA,PHX
103,Shot Chart Detail,0022300214,228,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,8,12,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231119,UTA,PHX
104,Shot Chart Detail,0022300214,266,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,5,0,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-70,41,1,1,20231119,UTA,PHX
105,Shot Chart Detail,0022300214,332,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,8,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,20,1,1,20231119,UTA,PHX
106,Shot Chart Detail,0022300214,344,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,39,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,29,1,1,20231119,UTA,PHX
107,Shot Chart Detail,0022300214,379,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,53,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,55,45,1,1,20231119,UTA,PHX
108,Shot Chart Detail,0022300214,562,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-45,274,1,1,20231119,UTA,PHX
109,Shot Chart Detail,0022300214,611,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,7,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-12,1,1,20231119,UTA,PHX
110,Shot Chart Detail,0022300214,691,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,0,20,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,0,1,1,20231119,UTA,PHX
111,Shot Chart Detail,0022300214,829,1628374,Lauri Markkanen,1610612762,Utah Jazz,6,1,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-43,110,1,1,20231119,UTA,PHX
